cohort,original_definition_per_source_paper,GEO_metadata_source,final_coding,good_n,poor_n,manual_verification_notes
GSE209746,"Sustained 2-year complete response (CR) vs incomplete response (iCR), source publication Table S1A","Labels transcribed from paper Table S1A (not in GEO)","CR=good; iCR=poor",26,67,"94 patients in paper; 1 (P-0044433) lacks GEO RNA data -> 93 analyzed; a pCR-then-relapse patient coded iCR per paper, not per GEO free text"
GSE35452,"JSCCR tumor regression grade dichotomy","characteristics_ch1.1: responder / non-responder","Responder=good; Non-responder=poor",24,22,"UFT/LV backbone (differs from 5-FU/capecitabine in other cohorts)"
GSE87211,"pCR = ypT0N0 (derived; source GCC 2018)","GEO fields: depth of invasion after nCRT / lymph node metastasis after nCRT","ypT0 & ypN0 = good; any definite non-zero ypT or ypN = poor; both missing = excluded",35,167,"Three-state rule applied; GSM2325248 excluded (ypT and ypN both missing); GSM2325371 ypT missing but ypN=2 -> poor; assertion 35/167 enforced in code"
GSE150082,"TRG Good/Poor","response:ch1","Good=good; Poor=poor",16,23,"Two-color Agilent; same probe map as GSE87211"
GSE45404,"Mandard TRG dichotomy","class field: responder / non-responder","Responder=good; Non-responder=poor (pattern 'Non')",19,23,"GPL570 annotation reused from GSE35452 fData"
GSE119409,"Sensitive vs resistant (capecitabine + 50.6 Gy)","sensitivity field","sensitive=good; resistant=poor; unknown excluded",15,41,""
GSE133057,"AJCC/CAP regression score 0-1 vs 2-3","ajcc field","0-1=good; 2-3=poor",13,20,"Platform annotation 51% coverage (lowest of included cohorts)"
GSE53781,"Mandard TRG1-2 vs TRG3-5","resp field","YES (TRG1-2)=good; NO (TRG3-5)=poor",10,16,"CodeLink platform; GenBank-accession annotation, 38% coverage"
GSE94104,"TRG on ASCENDING scale (TRG4=complete response per Alderdice 2017, PMID 28621318)","tissue type + tumour regression fields","Biopsy (pre-treatment) only; TRG3=good; TRG1-2=poor",11,29,"DIRECTION TRAP: scale is ascending, not descending; verified against source abstract before coding; assertion 11/29 enforced"
GSE56699,"Mandard TRG1-2 vs TRG3-5 after preoperative radiotherapy","official ArrayExpress/BioStudies SDRF: MaterialType=PB and mandard classification","Mandard 1-2=good; Mandard 3-5=poor; missing Mandard excluded",23,28,"Radiotherapy only, not nCRT; 58 PB arrays represent 52 patients; one patient lacks Mandard grade; repeated PB arrays were averaged within patient before scoring; patient-level assertion 23/28 enforced"
GSE213331,"pCR vs non-pCR; response-labelled samples are POST-nCRT resected tissues","group field","REMOVED 2026-09-12: not a pretreatment cohort; excluded from all analyses",9,9,"GEO overall_design: 9 post-nCRT pCR resections + 9 post-nCRT npCR resections + 9 pretreatment biopsies without labels. Prior chemotherapy-sensitivity inclusion was incorrect."
