cohort,platform,n_analyzed,expression_source,scale_normalization,probe_to_gene_route,annotation_coverage,signature_scoring,effect_direction
GSE209746,RNA-seq (Illumina HiSeq),93,"paper count matrix (paper S8A mapping)","DESeq2 VST (vst); counts also modeled with DESeq2","Ensembl ID -> HGNC symbol via paper Table S8A",high,"per-sample ssGSEA (GSVA), rank-based","Hedges g = mean(good) - mean(poor), positive = higher in responders"
GSE35452,Affymetrix HG-U133 Plus 2.0 (GPL570),46,series matrix as submitted,"RMA-like log2 (as deposited)","GPL570 fData 'Gene symbol', first token, max-variance dedup",high,ssGSEA within cohort,positive = higher in responders
GSE87211,Agilent GPL13497,202,series matrix as submitted,"log2 (as deposited)","custom probe map GPL13497_probe_map.tsv",high,ssGSEA within cohort,positive = higher in responders
GSE150082,Agilent GPL13497 (two-color),39,series matrix as submitted,"log2 ratio (as deposited)","same custom probe map as GSE87211",high,ssGSEA within cohort,positive = higher in responders
GSE45404,Affymetrix GPL570,42,series matrix as submitted,"RMA-like log2 (as deposited)","annotation reused from GSE35452 fData (same platform)",high,ssGSEA within cohort,positive = higher in responders
GSE119409,Affymetrix GPL570,56,series matrix as submitted,"RMA-like log2 (as deposited)","annotation reused from GSE35452 fData (same platform)",high,ssGSEA within cohort,positive = higher in responders
GSE133057,Illumina HumanRef-8 v2 (GPL6102),33,series matrix as submitted,"log2 (as deposited)","GPL6102 GEO annotation Gene.symbol + GenBank accession -> org.Hs.eg.db ACCNUM backfill","51% (low)",ssGSEA within cohort,positive = higher in responders
GSE53781,CodeLink Human Whole Genome (GPL18134),26,series matrix as submitted,"as deposited","GB_ACC -> org.Hs.eg.db ACCNUM -> SYMBOL","38% (low)",ssGSEA within cohort,positive = higher in responders
GSE94104,Illumina HumanHT-12 v3 (GPL14951),40,series matrix as submitted (FFPE biopsies),"as deposited","illuminaHumanv3.db PROBEID -> SYMBOL","90%",ssGSEA within cohort,positive = higher in responders
GSE56699,Illumina HumanWG-DASL v4 (GPL14951),51,"official ArrayExpress processed ZIP + SDRF (FFPE pretreatment biopsies)","log2(value+1)","ADF GenBank accessions -> org.Hs.eg.db ACCNUM -> SYMBOL","97.5%","repeat biopsy arrays averaged by patient before ssGSEA; alternative score-then-average sensitivity also retained",positive = higher in responders
GSE213331,RNA-seq,18,readcount matrix + series matrix,"CPM, log2(CPM+1)","native gene symbols (max-variance dedup)",high,ssGSEA within cohort,positive = higher in responders
ALL,"5 platform types","646 total: 577 nCRT primary + 51 radiotherapy sensitivity + 18 chemotherapy sensitivity","raw matrices never merged across cohorts","each cohort analyzed on its deposited scale","each cohort symbolized independently","see per-cohort rows","ssGSEA is rank-based within a sample -> invariant to monotone per-sample transformations; effect sizes computed within cohort then combined by REML + modified Hartung-Knapp","uniform convention: positive g = higher score in responders"
